uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0425-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0425-grado-en-filologia-clasica,,4,,8,4,10,,14,,9.089,Indicadores DemandaUniversitaria 2020 GRADO EN FILOLOGÍA CLÁSICA (0425),6.6,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0429-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0429-grado-en-historia-del-arte-y-patrimonio-historico-artistico,,4,,10,4,10,,14,,5.21,Indicadores DemandaUniversitaria 2020 GRADO EN HISTORIA DEL ARTE Y PATRIMONIO HISTÓRICO-ARTÍSTICO (0429),7.33,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1809-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1809-grado-en-educacion-primaria-almendralejo,,7,,12,8,13,,21,,5.024,Indicadores DemandaUniversitaria 2020 GRADO EN EDUCACIÓN PRIMARIA (ALMENDRALEJO) (1809),8.65,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1791-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1791-pceo-comunicacion-audiovisual-e-informacion-y-documentacion-2018,,11,2,4,11,4,,13,6.559,6.268,Indicadores DemandaUniversitaria 2020 DOBLE GRADO EN COMUNICACIÓN AUDIOVISUAL/ INFORMACIÓN Y DOCUMENTACIÓN (2018) (1791),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0717-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,,60,1,77,65,79,7.448,143,,5.516,Indicadores DemandaUniversitaria 2020 GRADO EN EDUCACIÓN PRIMARIA (CÁCERES) (0717),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1114-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1114-grado-en-economia,,19,1,12,20,12,6.208,31,,5.442,Indicadores DemandaUniversitaria 2020 GRADO EN ECONOMÍA (1114),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1211-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1211-grado-en-ingenieria-forestal-y-del-medio-natural,,26,1,6,26,7,6.148,32,,5.522,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL (1211),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0121-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0121-grado-en-ciencias-ambientales,,11,,4,11,4,5,15,,5.044,Indicadores DemandaUniversitaria 2020 GRADO EN CIENCIAS AMBIENTALES (0121),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0124-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0124-grado-en-matematicas,,25,,24,25,24,9.58,49,,9.911,Indicadores DemandaUniversitaria 2020 GRADO EN MATEMÁTICAS (0124),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0310-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0310-grado-en-criminologia,,7,,11,7,12,7.64,19,,8.279,Indicadores DemandaUniversitaria 2020 GRADO EN CRIMINOLOGÍA (0310),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0516-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0516-grado-en-ciencia-y-tecnologia-de-los-alimentos,,13,,19,13,19,6.915,32,,5,Indicadores DemandaUniversitaria 2020 GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS (0516),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1212-grado-en-podologia,,13,,44,13,46,6.142,59,,5.25,Indicadores DemandaUniversitaria 2020 GRADO EN PODOLOGÍA (1212),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1792-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1792-pceo-periodismo-y-comunicacion-audiovisual,,5,,14,5,14,8.054,19,,8.07,Indicadores DemandaUniversitaria 2020 DOBLE GRADO EN PERIODISMO / COMUNICACIÓN AUDIOVISUAL (1792),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1807-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1807-grado-en-trabajo-social,,2,,15,2,15,7.483,17,,5.09,Indicadores DemandaUniversitaria 2020 GRADO EN TRABAJO SOCIAL (1807),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1808-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1808-grado-en-educacion-infantil-almendralejo,,,,11,,12,6.833,12,,5.376,Indicadores DemandaUniversitaria 2020 GRADO EN EDUCACIÓN INFANTIL (ALMENDRALEJO) (1808),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0125-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0125-grado-en-quimica,,13,1,14,14,14,,27,,5.327,Indicadores DemandaUniversitaria 2020 GRADO EN QUÍMICA (0125),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0131-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0131-grado-en-ingenieria-quimica-industrial,,12,1,7,12,7,,18,,5.713,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA QUÍMICA INDUSTRIAL (0131),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0305-grado-en-administracion-y-gestion-publica,,8,1,3,8,3,,10,,5.376,Indicadores DemandaUniversitaria 2020 GRADO EN ADMINISTRACIÓN Y GESTIÓN PÚBLICA (0305),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0390-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0390-pceo-derecho-y-administracion-y-direccion-de-empresas,,27,2,23,28,24,,50,,5.375,Indicadores DemandaUniversitaria 2020 DOBLE GRADO EN DERECHO / ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (0390),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0391-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0391-pceo-criminologia-y-derecho,,14,1,26,14,26,,39,,8.001,Indicadores DemandaUniversitaria 2020 DOBLE GRADO EN CRIMINOLOGÍA / DERECHO (0391),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0426-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0426-grado-en-filologia-hispanica,,3,1,14,3,15,,17,,5.997,Indicadores DemandaUniversitaria 2020 GRADO EN FILOLOGÍA HISPÁNICA (0426),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0816-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0816-grado-en-ingenieria-electrica-rama-industrial,,17,1,5,18,5,,22,,5.071,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA ELÉCTRICA (RAMA INDUSTRIAL) (0816),,,,2019-2020
